playerID,teamID,HR,BB,HBP,SO,IP,ERA
milonto01,OAK,25,39,2,126,156.3333,4.14
minerza01,PHI,4,17,2,20,28.6667,4.4
minormi01,ATL,22,46,1,181,204.6667,3.21
moorema02,TBA,14,76,4,143,150.3333,3.29
moralfr01,BOS,2,15,3,21,25.3333,4.62
morribr01,PIT,8,28,2,37,65.0000,3.46
morrobr01,TOR,12,18,1,42,54.3333,5.63
mortecl01,BOS,3,16,3,21,30.3333,5.34
mortoch02,PIT,6,36,16,85,116.0000,3.26
moscogu01,SFN,5,21,3,31,30.0000,5.1
moylape01,LAN,3,7,0,6,15.3333,6.46
mujiced01,SLN,9,5,1,46,64.6667,2.78
murphda07,TEX,0,0,0,1,1.0000,0
myersbr01,CLE,10,5,0,12,21.3333,8.02
narvech01,MIL,0,1,0,0,2.0000,0
nathajo01,TEX,2,22,1,73,64.6667,1.39
nelsoji02,MIL,0,5,0,8,10.0000,0.9
neshepa01,OAK,6,15,0,29,40.3333,3.35
nicasju01,COL,17,64,5,119,157.6667,5.14
niesejo01,NYN,10,48,4,105,143.0000,3.71
noesihe01,SEA,3,12,1,21,27.3333,6.59
nolasri01,MIA,11,25,4,90,112.3333,3.85
nolasri01,LAN,6,21,6,75,87.0000,3.52
nolinse01,TOR,1,1,0,0,1.3333,40.5
norribu01,HOU,11,43,4,90,126.0000,3.93
norribu01,BAL,6,24,1,57,50.6667,4.8
novaiv01,NYA,9,44,14,116,139.3333,3.1
nunovi01,NYA,2,6,1,9,20.0000,2.25
oberhbr01,HOU,7,13,1,45,71.6667,2.76
odayda01,BAL,7,15,5,59,62.0000,2.18
odorija01,TBA,3,8,2,22,29.6667,3.94
oflaher01,ATL,2,5,0,11,18.0000,2.5
ogandal01,TEX,11,41,5,72,104.3333,3.11
ohlenro01,WAS,8,14,1,45,60.3333,3.28
okajihi01,OAK,1,2,0,1,4.0000,2.25
oliveda02,TOR,6,15,2,40,49.0000,3.86
olmosed01,MIA,2,3,0,2,5.0000,7.2
omogrbr01,CHA,2,9,1,16,16.3333,9.37
ondrulo01,CIN,8,16,1,53,55.0000,4.09
ortegjo01,DET,2,6,1,10,11.6667,3.86
ortizjo05,TEX,5,10,0,27,44.6667,4.23
ortizra01,TOR,7,11,1,8,25.3333,6.04
osullse01,SDN,0,14,1,12,25.0000,3.96
oswalro01,COL,3,9,1,34,32.3333,8.63
oteroda01,OAK,0,6,0,27,39.0000,1.38
ottavad01,COL,5,31,2,78,78.3333,2.64
outmajo01,COL,3,23,3,53,54.0000,4.33
papeljo01,PHI,6,11,1,57,61.6667,2.92
parkebl01,CHN,4,15,2,55,46.3333,2.72
parkeja02,OAK,25,63,7,134,197.0000,3.97
parnebo01,NYN,1,12,1,44,50.0000,2.16
parrama01,CIN,5,15,1,56,46.0000,3.33
partccu01,CIN,8,17,4,16,23.3333,6.17
paterjo01,ARI,0,0,3,2,2.3333,3.86
pattotr01,BAL,8,16,3,42,56.0000,3.7
paxtoja01,SEA,2,7,0,21,24.0000,1.5
peacobr01,HOU,15,37,3,77,83.3333,5.18
peavyja01,CHA,14,17,1,76,80.0000,4.28
peavyja01,BOS,6,19,1,45,64.6667,4.04
pelfrmi01,MIN,13,53,6,101,152.6667,5.19
peraljo01,TBA,7,34,0,74,71.3333,3.41
peralwi01,MIL,19,73,7,129,183.3333,4.37
perezch01,CLE,11,21,4,54,54.0000,4.33
perezju01,TOR,3,15,1,33,31.6667,3.69
perezlu01,TOR,0,2,0,6,5.0000,5.4
perezma02,TEX,15,37,3,84,124.3333,3.62
perezol01,SEA,6,26,1,74,53.0000,3.74
perkigl01,MIN,5,15,3,77,62.6667,2.3
pestavi01,CLE,6,21,1,37,35.3333,4.08
petityu01,SFN,4,11,0,47,48.0000,3.56
